Database???Annual
Year£ºLATEST20
Indicators,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005
Producer Price Indices for Industrial Products (preceding year=100)Manufacture of Railway Ship Aerospace and Other Transport Equipments,,100.2,101.5,100.6,100.4,100.3,100.9,101.2,99.7,99.9,99.6,99.3,99.5,,,,,,,
Producer Price Indices for Industrial Products (preceding year=100)Manufacture of Electrical Machinery and Apparatus,,98.5,104.6,104.4,97.4,98.0,100.1,102.0,98.4,98.0,98.8,98.4,97.5,,,,,,,
Producer Price Indices for Industrial Products (preceding year=100)Manufacture of Computers Communication and Other Electronic Equipment,,98.3,100.7,99.9,98.5,99.1,98.5,99.7,98.6,98.4,98.3,97.3,97.8,,,,,,,
Producer Price Indices for Industrial Products (preceding year=100)Manufacture of Measuring Instruments and Machinery,,100.8,101.5,99.7,100.2,100.8,99.5,99.8,99.8,99.4,100.0,99.7,100.2,,,,,,,
Producer Price Indices for Industrial Products (preceding year=100)Other Manufacture,,99.6,102.2,100.6,100.3,101.2,101.3,102.7,100.8,98.8,102.1,102.0,103.6,,,,,,,
Producer Price Indices for Industrial Products (preceding year=100)Utilization of Waste Resources,,91.9,103.2,117.5,100.2,104.1,115.0,115.8,97.5,88.8,93.5,94.0,92.2,,,,,,,
Producer Price Indices for Industrial Products (preceding year=100)Repair Service of Metal Products Machinery and Equipment,,102.9,102.1,99.7,103.6,102.8,100.6,102.6,102.4,98.5,99.3,99.0,99.1,,,,,,,
Producer Price Indices for Industrial Products (preceding year=100)Production and Supply of Electric Power and Heat Power,,101.2,108.6,100.2,98.1,99.1,99.0,99.3,96.9,98.7,100.2,100.2,103.7,,,,,,,
Producer Price Indices for Industrial Products (preceding year=100) Production and Supply of Gas,,101.1,115.9,105.1,95.7,103.1,104.0,102.1,90.4,97.0,103.5,102.1,102.0,,,,,,,
Producer Price Indices for Industrial Products (preceding year=100) Production and Supply of Water,,100.6,101.3,101.1,100.1,102.1,101.5,102.0,101.9,102.2,102.6,101.9,102.2,,,,,,,
Data Sources£ºNational Bureau of Statistics
